,name,workshop_date,position,text_length,num_upvotes,talker,quarter
347,anqi-hu,2019-11-14,21,45,18,Terman,F
348,yongfeilu,2019-11-14,22,48,2,Terman,F
349,dhruvalb,2019-11-14,23,24,19,Terman,F
350,ZhouXing-19,2019-11-14,24,62,8,Terman,F
351,adarshmathew,2019-11-14,25,231,34,Terman,F
352,AllisonXiong,2019-11-14,26,62,4,Terman,F
353,heathercchen,2019-11-14,27,43,4,Terman,F
354,ChivLiu,2019-11-14,28,59,5,Terman,F
355,zeyuxu1997,2019-11-14,29,59,4,Terman,F
356,JuneZzj,2019-11-14,30,49,1,Terman,F
357,hesongrun,2019-11-14,31,30,2,Terman,F
358,harryxiong13,2019-11-14,32,46,9,Terman,F
359,tianyueniu,2019-11-14,33,28,4,Terman,F
360,romanticmonkey,2019-11-14,34,75,5,Terman,F
361,minminfly68,2019-11-14,35,68,2,Terman,F
362,chiayunc,2019-11-14,36,27,3,Terman,F
363,rkcatipon,2019-11-14,37,99,9,Terman,F
364,nswxin,2019-11-14,38,23,0,Terman,F
365,cytwill,2019-11-14,39,55,0,Terman,F
366,chun-hu,2019-11-14,40,67,1,Terman,F
367,dongchengecon,2019-11-14,41,39,0,Terman,F
368,boyangqu,2019-11-14,42,43,1,Terman,F
369,keertanavc,2019-11-14,43,31,4,Terman,F
370,skanthan95,2019-11-14,44,53,0,Terman,F
371,nt546,2019-11-14,45,26,0,Terman,F
372,yutianlai,2019-11-14,46,30,0,Terman,F
373,KenChenCompEcon,2019-11-14,47,22,3,Terman,F
374,YuxinNg,2019-11-14,48,53,2,Terman,F
375,ShanglunLi,2019-11-14,49,12,0,Terman,F
376,SixueLiu96,2019-11-14,50,53,3,Terman,F
377,HaowenShang,2019-11-14,51,37,3,Terman,F
378,bjcliang-uchi,2019-11-14,52,54,0,Terman,F
379,huanye,2019-11-14,53,59,2,Terman,F
380,ruixili,2019-11-14,54,17,0,Terman,F
381,jsgenan,2019-11-14,55,42,2,Terman,F
382,Anqi-Zhou,2019-11-14,56,12,0,Terman,F
383,YanjieZhou,2019-11-14,57,29,0,Terman,F
384,Leahjl,2019-11-14,58,18,0,Terman,F
385,weijiexu-charlie,2019-11-14,59,24,0,Terman,F
